"","Open","High","Low","Close","Adj.Close","Volume","MA_20","MA_50","Daily_Return","Lag_1_Close","Lag_5_Close","Volatility_20"
"Open",1,0.998551167988315,0.998467680187977,0.99672106070312,0.99672106070312,-0.398116917528507,0.974230121841613,0.936706298449517,-0.0176896350540773,0.997950309290661,0.977623138811999,0.212295619923941
"High",0.998551167988315,1,0.998130953532822,0.998494964997734,0.998494964997734,-0.382102768112291,0.974176874764246,0.936890529959772,0.0115546151981217,0.996674821732046,0.976637237771373,0.220099348224735
"Low",0.998467680187977,0.998130953532822,1,0.998506473820986,0.998506473820986,-0.414574181832523,0.971927565191492,0.933673782811422,0.0153099620233337,0.996294881861537,0.975060786797731,0.198155866772914
"Close",0.99672106070312,0.998494964997734,0.998506473820986,1,1,-0.395393705341978,0.972039676865867,0.934206602024473,0.0462321618002991,0.994564286668942,0.974197751568731,0.209264213010535
"Adj.Close",0.99672106070312,0.998494964997734,0.998506473820986,1,1,-0.395393705341978,0.972039676865867,0.934206602024473,0.0462321618002991,0.994564286668942,0.974197751568731,0.209264213010535
"Volume",-0.398116917528507,-0.382102768112291,-0.414574181832523,-0.395393705341978,-0.395393705341978,1,-0.368259857061432,-0.350974680475602,-0.0837613927080543,-0.386418943049804,-0.37039890753974,0.268525351149355
"MA_20",0.974230121841613,0.974176874764246,0.971927565191492,0.972039676865867,0.972039676865867,-0.368259857061432,1,0.980765607814296,-0.0449206343346793,0.976122590753656,0.987267091805024,0.275946174351611
"MA_50",0.936706298449517,0.936890529959772,0.933673782811422,0.934206602024473,0.934206602024473,-0.350974680475602,0.980765607814296,1,-0.0504300337106728,0.93888712298706,0.954644479715566,0.324036935975636
"Daily_Return",-0.0176896350540773,0.0115546151981217,0.0153099620233337,0.0462321618002991,0.0462321618002991,-0.0837613927080543,-0.0449206343346793,-0.0504300337106728,1,-0.0580321523106679,-0.0580732145474796,-0.0482069542085227
"Lag_1_Close",0.997950309290661,0.996674821732046,0.996294881861537,0.994564286668942,0.994564286668942,-0.386418943049804,0.976122590753656,0.93888712298706,-0.0580321523106679,1,0.979650304420332,0.214160057369287
"Lag_5_Close",0.977623138811999,0.976637237771373,0.975060786797731,0.974197751568731,0.974197751568731,-0.37039890753974,0.987267091805024,0.954644479715566,-0.0580732145474796,0.979650304420332,1,0.239558214046499
"Volatility_20",0.212295619923941,0.220099348224735,0.198155866772914,0.209264213010535,0.209264213010535,0.268525351149355,0.275946174351611,0.324036935975636,-0.0482069542085227,0.214160057369287,0.239558214046499,1
